lavender	15132410;
white		16777215;
black		0;
gray		12500670;
navy		128;
medium blue	205;
royal blue	4286945;
blue		255;
dodger blue	2003199;
sky blue	8900331;
turquoise	4251856;
cyan		65535;
aquamarine	8388564;
dark green	25600;
sea green	3050327;
pale green	10025880;
green		65280;
chartreuse	8388352;
forest green	2263842;
khaki		15787660;
light yellow	16777184;
yellow		16776960;
gold		16766720;
goldenrod	14329120;
indian red	13458524;
sienna		10506797;
beige		16119260;
wheat		16113331;
tan		13808780;
chocolate	13789470;
firebrick	11674146;
brown		10824234;
salmon		16416882;
orange		16753920;
coral		16744272;
tomato		16737095;
red		16711680;
pink		16761035;
maroon		11546720;
magenta		16711935;
violet		15631086;
plum		14524637;
orchid		14315734;
purple		10494192;
gray0		0;
gray10		1710618;
gray20		3355443;
gray30		5066061;
gray40		6710886;
gray50		8355711;
gray60		10066329;
gray70		11776947;
gray80		13421772;
gray90		15066597;
gray100		16777215;
